,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,speed
3200,1.5289125578001528e+18,1,0,0,0,2.552087157894737
3210,1.528912558001725e+18,1,0,0,0,2.549726
3220,1.5289125582032965e+18,1,0,0,0,2.5473648421052633
3230,1.5289125584048684e+18,1,0,0,0,2.5450036842105264
3240,1.5289125586064402e+18,1,0,0,0,2.5426425263157895
3250,1.528912558808012e+18,1,0,0,0,2.540281368421053
3260,1.528912559009584e+18,1,0,0,0,2.537920210526316
3270,1.5289125592111557e+18,1,0,0,0,2.535559052631579
3280,1.5289125594127276e+18,1,0,0,0,2.5331978947368423
3290,1.5289125596142994e+18,1,0,0,0,2.5308367368421054
3300,1.5289125598158712e+18,1,0,0,0,2.5284755789473685
3310,1.528912560017443e+18,1,0,0,0,2.5261144210526316
3320,1.528912560219015e+18,1,0,0,0,2.5237532631578947
3330,1.5289125604205868e+18,1,0,0,0,2.5213921052631583
3340,1.5289125606221586e+18,1,0,0,0,2.5190309473684214
3350,1.5289125608237304e+18,1,0,0,0,2.5166697894736845
3360,1.5289125610253025e+18,1,0,0,0,2.5143086315789476
3370,1.528912561226874e+18,1,0,0,0,2.5119474736842107
3380,1.528912561428446e+18,1,0,0,0,2.5095863157894738
3390,1.5289125616300178e+18,1,0,0,0,2.507225157894737
3400,1.5289125618315896e+18,1,0,0,0,2.5048640000000004
3410,1.5289125620331617e+18,1,0,0,0,2.5025028421052635
3420,1.5289125622347333e+18,1,0,0,0,2.5001416842105266
3430,1.5289125624363052e+18,1,0,0,0,2.4977805263157897
3440,1.528912562637877e+18,1,0,0,0,2.495419368421053
3450,1.5289125628394488e+18,1,0,0,0,2.493058210526316
3460,1.528912563041021e+18,1,0,0,0,2.490697052631579
3470,1.5289125632425925e+18,1,0,0,0,2.488335894736842
3480,1.5289125634441644e+18,1,0,0,0,2.4859747368421057
3490,1.5289125636457362e+18,1,0,0,0,2.483613578947369
3500,1.528912563847308e+18,1,0,0,0,2.481252421052632
3510,1.52891256404888e+18,1,0,0,0,2.478891263157895
3520,1.5289125642504517e+18,1,0,0,0,2.476530105263158
3530,1.5289125644520236e+18,1,0,0,0,2.474168947368421
3540,1.5289125646535954e+18,1,0,0,0,2.4718077894736843
3550,1.5289125648551672e+18,1,0,0,0,2.469446631578948
3560,1.528912565056739e+18,1,0,0,0,2.467085473684211
3570,1.528912565258311e+18,1,0,0,0,2.464724315789474
3580,1.5289125654598828e+18,1,0,0,0,2.462363157894737
3590,1.5289125656614546e+18,1,0,0,0,2.4600020000000002
3600,1.5289125658630264e+18,1,0,0,0,2.2550569166666667
3610,1.5289125660645985e+18,1,0,0,0,2.0501118333333337
3620,1.52891256626617e+18,1,0,0,0,1.8451667500000002
3630,1.528912566467742e+18,1,0,0,0,1.6402216666666667
3640,1.5289125666693138e+18,1,0,0,0,1.4352765833333334
3650,1.5289125668708856e+18,1,0,0,0,1.2303315000000001
3660,1.5289125670724577e+18,1,0,0,0,1.0253864166666666
3670,1.5289125672740293e+18,1,0,0,0,0.8204413333333334
3680,1.5289125674756012e+18,1,0,0,0,0.6154962500000001
3690,1.528912567677173e+18,1,0,0,0,0.4105511666666666
3700,1.5289125678787448e+18,1,0,0,0,0.20560608333333308
3710,1.528912568080317e+18,1,0,0,0,0.000661
3720,1.5289125682818885e+18,1,0,0,0,0.051394
3730,1.5289125684834604e+18,1,0,0,0,0.07784971739130435
3740,1.5289125686850322e+18,1,0,0,0,0.1043054347826087
3750,1.528912568886604e+18,1,0,0,0,0.13076115217391304
3760,1.528912569088176e+18,1,0,0,0,0.15721686956521738
3770,1.5289125692897477e+18,1,0,0,0,0.18367258695652172
3780,1.5289125694913196e+18,1,0,0,0,0.2101283043478261
3790,1.5289125696928914e+18,1,0,0,0,0.23658402173913043
3800,1.5289125698944632e+18,1,0,0,0,0.26303973913043477
3810,1.528912570096035e+18,1,0,0,0,0.28949545652173914
3820,1.528912570297607e+18,1,0,0,0,0.31595117391304345
3830,1.5289125704991788e+18,1,0,0,0,0.3424068913043478
3840,1.5289125707007506e+18,1,0,0,0,0.3688626086956522
3850,1.5289125709023224e+18,1,0,0,0,0.3953183260869565
3860,1.5289125711038945e+18,1,0,0,0,0.42177404347826086
3870,1.528912571305466e+18,1,0,0,0,0.4482297608695652
3880,1.528912571507038e+18,1,0,0,0,0.47468547826086954
3890,1.5289125717086098e+18,1,0,0,0,0.501141195652174
3900,1.5289125719101816e+18,1,0,0,0,0.5275969130434782
3910,1.5289125721117537e+18,1,0,0,0,0.5540526304347826
3920,1.5289125723133253e+18,1,0,0,0,0.580508347826087
3930,1.5289125725148972e+18,1,0,0,0,0.6069640652173913
3940,1.528912572716469e+18,1,0,0,0,0.6334197826086957
3950,1.5289125729180408e+18,1,0,0,0,0.6598755000000001
3960,1.528912573119613e+18,1,0,0,0,0.6863312173913044
3970,1.5289125733211845e+18,1,0,0,0,0.7127869347826087
3980,1.5289125735227564e+18,1,0,0,0,0.739242652173913
3990,1.5289125737243282e+18,1,0,0,0,0.7656983695652174
4000,1.5289125739259e+18,1,0,0,0,0.7921540869565218
4010,1.528912574127472e+18,1,0,0,0,0.8186098043478262
4020,1.5289125743290437e+18,1,0,0,0,0.8450655217391304
4030,1.5289125745306156e+18,1,0,0,0,0.8715212391304348
4040,1.5289125747321874e+18,1,0,0,0,0.8979769565217391
4050,1.5289125749337592e+18,1,0,0,0,0.9244326739130435
4060,1.528912575135331e+18,1,0,0,0,0.9508883913043479
4070,1.528912575336903e+18,1,0,0,0,0.9773441086956521
4080,1.5289125755384748e+18,1,0,0,0,1.0037998260869565
4090,1.5289125757400466e+18,1,0,0,0,1.0302555434782608
4100,1.5289125759416184e+18,1,0,0,0,1.056711260869565
4110,1.5289125761431905e+18,1,0,0,0,1.0831669782608695
4120,1.528912576344762e+18,1,0,0,0,1.1096226956521738
4130,1.528912576546334e+18,1,0,0,0,1.1360784130434782
4140,1.5289125767479058e+18,1,0,0,0,1.1625341304347825
4150,1.5289125769494776e+18,1,0,0,0,1.1889898478260867
4160,1.5289125771510497e+18,1,0,0,0,1.2154455652173912
4170,1.5289125773526213e+18,1,0,0,0,1.2419012826086955
4180,1.5289125775541932e+18,1,0,0,0,1.268357
4190,1.528912577755765e+18,1,0,0,0,1.2648304
4200,1.5289125779573368e+18,1,0,0,0,1.2613037999999999
4210,1.528912578158909e+18,1,0,0,0,1.2577772
4220,1.5289125783604805e+18,1,0,0,0,1.2542506
4230,1.5289125785620524e+18,1,0,0,0,1.250724
4240,1.5289125787636242e+18,1,0,0,0,1.2700422962962963
4250,1.528912578965196e+18,1,0,0,0,1.2893605925925926
4260,1.528912579166768e+18,1,0,0,0,1.308678888888889
4270,1.5289125793683397e+18,1,0,0,0,1.327997185185185
4280,1.5289125795699116e+18,1,0,0,0,1.3473154814814814
4290,1.5289125797714834e+18,1,0,0,0,1.3666337777777777
4300,1.5289125799730552e+18,1,0,0,0,1.385952074074074
4310,1.528912580174627e+18,1,0,0,0,1.4052703703703704
4320,1.528912580376199e+18,1,0,0,0,1.4245886666666667
4330,1.5289125805777708e+18,1,0,0,0,1.4439069629629628
4340,1.5289125807793426e+18,1,0,0,0,1.4632252592592592
4350,1.5289125809809144e+18,1,0,0,0,1.4825435555555555
4360,1.5289125811824865e+18,1,0,0,0,1.5018618518518518
4370,1.528912581384058e+18,1,0,0,0,1.5211801481481482
4380,1.52891258158563e+18,1,0,0,0,1.5404984444444445
4390,1.5289125817872018e+18,1,0,0,0,1.5598167407407408
4400,1.5289125819887736e+18,1,0,0,0,1.579135037037037
4410,1.5289125821903457e+18,1,0,0,0,1.5984533333333333
4420,1.5289125823919173e+18,1,0,0,0,1.6177716296296296
4430,1.5289125825934892e+18,1,0,0,0,1.637089925925926
4440,1.528912582795061e+18,1,0,0,0,1.6564082222222223
4450,1.5289125829966328e+18,1,0,0,0,1.6757265185185184
4460,1.528912583198205e+18,1,0,0,0,1.695044814814815
