,timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix).1,User Mark,timestamp
158,1528282415.835577,-0.095654,0.5409430000000001,2.850625,-0.349439,-0.77415,-0.769767,-0.081872,-0.514945,-0.8533040000000001,-0.044395,-0.066079,-0.180768,-15.811844,-19.239122000000002,-16.310822,,,,,,,,1528282415.835577
159,1528282415.855735,-0.104977,0.5347149999999999,2.831092,-0.389313,-1.031534,-0.817804,-0.090158,-0.509596,-0.855677,-0.123099,-0.0018789999999999998,-0.247258,-15.662445000000002,-19.449299,-16.340270999999998,,,,,,,,1528282415.855735
160,1528282415.875891,-0.113173,0.531054,2.80976,-0.19658,-0.8305899999999999,-0.938258,-0.09737799999999999,-0.5064420000000001,-0.856758,-0.223911,0.049227999999999994,-0.287072,-15.674194,-19.412203,-16.195282000000002,,,,,,,,1528282415.875891
161,1528282415.896049,-0.112877,0.531552,2.786111,-0.047063,-0.44476499999999997,-1.033182,-0.097096,-0.506872,-0.8565360000000001,-0.210689,0.063863,-0.19860999999999998,-15.595535,-19.767311,-15.953369,,,,,,,,1528282415.896049
162,1528282415.916207,-0.106348,0.532984,2.762147,-0.05036,-0.21222800000000003,-1.017228,-0.091424,-0.5081060000000001,-0.8564280000000001,-0.1668,0.07024,-0.091478,-15.233215,-20.13975,-15.950042999999999,,,,,,,,1528282415.916207
163,1528282415.936363,-0.09818099999999999,0.53388,2.7385669999999998,-0.057867999999999996,-0.210202,-1.0001520000000002,-0.084382,-0.508877,-0.856693,-0.164885,0.103726,-0.049053,-14.907348999999998,-20.436523,-16.072937,,,,,,,,1528282415.936363
164,1528282415.956521,-0.09324199999999999,0.535129,2.715682,-0.002997,-0.418001,-0.955191,-0.080091,-0.5099520000000001,-0.856466,-0.14316099999999998,0.121601,-0.031702,-14.731415,-20.801385999999997,-16.008698000000003,,,,,,,,1528282415.956521
165,1528282415.976677,-0.094294,0.53843,2.694123,0.131224,-0.707147,-0.9239950000000001,-0.080833,-0.512789,-0.854701,-0.16083599999999998,0.15056,-0.02567,-14.707138,-21.213873,-15.666808999999999,,,,,,,,1528282415.976677
166,1528282415.996835,-0.098096,0.544383,2.672466,0.233294,-0.712838,-0.963368,-0.083781,-0.51789,-0.851334,-0.189519,0.156349,0.020463,-14.304001000000001,-21.363468,-15.385803,,,,,,,,1528282415.996835
167,1528282416.016993,-0.09866699999999999,0.550469,2.649922,0.171348,-0.549338,-0.98911,-0.083955,-0.523087,-0.848134,-0.168074,0.130982,0.080312,-14.191132000000001,-21.889847,-15.329436999999999,,,,,,,,1528282416.016993
168,1528282416.037149,-0.096174,0.55383,2.626461,0.003022,-0.472587,-1.014964,-0.08167100000000001,-0.525949,-0.8465860000000001,-0.14194600000000002,0.117654,0.12075599999999999,-14.117432,-22.204622,-15.045867999999999,,,,,,,,1528282416.037149
169,1528282416.057307,-0.093334,0.554293,2.6017580000000002,-0.11620799999999999,-0.532258,-1.0578040000000002,-0.07924400000000001,-0.526342,-0.8465719999999999,-0.122706,0.116399,0.121474,-13.581757000000001,-22.55438,-14.834685999999998,,,,,,,,1528282416.057307
170,1528282416.077464,-0.091418,0.553185,2.57573,-0.163063,-0.611974,-1.1048229999999999,-0.077675,-0.5254,-0.847302,-0.104439,0.119745,0.106076,-13.328644,-22.80475,-14.580017000000002,,,,,,,,1528282416.077464
171,1528282416.0976212,-0.090032,0.5526439999999999,2.549079,-0.09603300000000001,-0.62445,-1.119683,-0.076526,-0.524939,-0.847692,-0.09463200000000001,0.11885699999999999,0.07294199999999999,-13.377884,-23.147123,-14.664948,,,,,,,,1528282416.0976212
172,1528282416.117779,-0.08885599999999999,0.553901,2.5228610000000002,-0.005764,-0.638063,-1.098211,-0.07547100000000001,-0.5260090000000001,-0.847123,-0.066268,0.10593499999999999,0.055711000000000004,-12.738205,-23.637239,-14.524597,,,,,,,,1528282416.117779
173,1528282416.1379359,-0.08832999999999999,0.556048,2.497229,0.00055,-0.637025,-1.0843260000000001,-0.074925,-0.527834,-0.846036,-0.077815,0.092989,0.064389,-12.475280999999999,-23.609554,-14.218872,,,,,,,,1528282416.1379359
174,1528282416.158092,-0.087289,0.556812,2.4714139999999998,-0.097233,-0.6203029999999999,-1.089789,-0.074009,-0.528482,-0.8457120000000001,-0.09016,0.081613,0.044519,-12.339675999999999,-23.706192,-14.292572,,,,,,,,1528282416.158092
175,1528282416.17825,-0.085582,0.555555,2.444855,-0.190774,-0.592641,-1.124082,-0.07262300000000001,-0.527415,-0.846498,-0.122202,0.088054,0.003511,-11.701584,-24.216022,-14.011688000000001,,,,,,,,1528282416.17825
176,1528282416.198407,-0.081898,0.553546,2.417152,-0.185132,-0.49975,-1.1689379999999998,-0.06959,-0.5257069999999999,-0.847814,-0.148428,0.098522,-0.065318,-11.383728,-24.266878,-13.965088,,,,,,,,1528282416.198407
177,1528282416.218565,-0.07545299999999999,0.5529029999999999,2.3894490000000004,-0.07728600000000001,-0.348447,-1.153891,-0.06415,-0.5251600000000001,-0.848582,-0.137891,0.110273,-0.106527,-11.082626,-24.178766,-14.027344,,,,,,,,1528282416.218565
178,1528282416.238722,-0.067892,0.554854,2.362954,0.062318,-0.31456100000000004,-1.101408,-0.057663,-0.5268189999999999,-0.8480190000000001,-0.112381,0.101694,-0.108677,-10.885544,-24.58181,-14.03183,,,,,,,,1528282416.238722
179,1528282416.258878,-0.060911,0.558231,2.337919,0.10549800000000001,-0.300645,-1.039433,-0.051632000000000004,-0.529686,-0.84662,-0.10837100000000001,0.090371,-0.075987,-10.128189,-25.082708,-13.737670999999999,,,,,,,,1528282416.258878
180,1528282416.279036,-0.053119000000000006,0.56102,2.314117,0.064062,-0.19878800000000002,-0.9946659999999999,-0.044955,-0.53205,-0.845518,-0.137784,0.084586,-0.062944,-9.555069,-25.017641,-13.813416,,,,,,,,1528282416.279036
181,1528282416.299192,-0.04253,0.563377,2.290311,0.088136,-0.045648,-1.007482,-0.035947,-0.534044,-0.844692,-0.163104,0.096239,-0.082051,-9.312515,-25.453552,-13.950073000000001,,,,,,,,1528282416.299192
182,1528282416.31935,-0.030641,0.567738,2.266999,0.24613200000000002,-0.047174,-0.960305,-0.025830000000000002,-0.537726,-0.842724,-0.133976,0.09374099999999999,-0.106617,-8.739258,-25.742178,-13.830535999999999,,,,,,,,1528282416.31935
183,1528282416.339508,-0.021122,0.57547,2.245055,0.417921,-0.158453,-0.9194959999999999,-0.017719,-0.54423,-0.838749,-0.145581,0.080149,-0.07812100000000001,-7.889099000000001,-26.099209,-13.616698999999999,,,,,,,,1528282416.339508
184,1528282416.359664,-0.012669,0.584838,2.221916,0.449805,-0.243943,-1.013382,-0.010564,-0.5520649999999999,-0.833734,-0.178493,0.058138,-0.011831999999999999,-7.59285,-26.130615,-13.493439000000002,,,,,,,,1528282416.359664
185,1528282416.379822,-0.002076,0.593841,2.19501,0.42963500000000004,-0.185034,-1.178914,-0.001721,-0.559549,-0.8287950000000001,-0.149524,0.097696,0.015868,-6.888565,-26.602825,-13.147766,,,,,,,,1528282416.379822
186,1528282416.3999789,0.011258,0.601963,2.1643369999999997,0.39318000000000003,-0.221297,-1.285717,0.009279,-0.566262,-0.8241729999999999,-0.07557799999999999,0.124275,0.020309,-6.4380489999999995,-26.647479999999998,-12.841919,,,,,,,,1528282416.3999789
