,timestamp,labelrunning,labeljogging,labelsitting,labelexercising,yaw,pitch,roll
2320,1.528912540061831e+18,1,0,0,0,2.6811979999999997,-1.262197,-2.4488939999999997
2330,1.5289125402634028e+18,1,0,0,0,0.21758400000000008,-1.2411159999999999,1.647806
2340,1.5289125404649746e+18,1,0,0,0,-0.239118,-1.315516,0.905867
2350,1.5289125406665464e+18,1,0,0,0,0.38909699999999997,-1.464008,1.671929
2360,1.5289125408681185e+18,1,0,0,0,2.923349,-1.285967,-2.137706
2370,1.52891254106969e+18,1,0,0,0,0.20202799999999999,-1.082658,1.370948
2380,1.528912541271262e+18,1,0,0,0,-0.057945,-1.196917,1.068601
2390,1.5289125414728338e+18,1,0,0,0,2.0879060000000003,-1.350039,-3.1345080000000003
2400,1.5289125416744056e+18,1,0,0,0,-3.1107080000000003,-1.256644,-1.9012580000000001
2410,1.5289125418759777e+18,1,0,0,0,0.000327,-1.2068139999999998,1.169661
2420,1.5289125420775493e+18,1,0,0,0,0.284603,-1.353594,1.3741459999999999
2430,1.5289125422791212e+18,1,0,0,0,2.343143,-1.26634,-2.812604
2440,1.528912542480693e+18,1,0,0,0,-2.011204,-1.545104,-0.831033
2450,1.5289125426822648e+18,1,0,0,0,-0.07199900000000001,-1.2456129999999999,1.056635
2460,1.528912542883837e+18,1,0,0,0,0.27453099999999997,-1.2717479999999999,1.66245
2470,1.5289125430854085e+18,1,0,0,0,2.682555,-1.228327,-2.450129
2480,1.5289125432869804e+18,1,0,0,0,0.283599,-1.26721,1.7147729999999999
2490,1.5289125434885522e+18,1,0,0,0,-0.118369,-1.285641,0.9845950000000001
2500,1.528912543690124e+18,1,0,0,0,0.684655,-1.3879489999999999,1.9464689999999998
2510,1.528912543891696e+18,1,0,0,0,2.8422970000000003,-1.299146,-2.19244
2520,1.5289125440932677e+18,1,0,0,0,0.14113399999999998,-1.182621,1.477496
2530,1.5289125442948396e+18,1,0,0,0,-0.235294,-1.402317,0.9970469999999999
2540,1.5289125444964114e+18,1,0,0,0,1.9437669999999998,-1.385264,3.121276
